{'customer': 'customer2', 'payment_id': 'customer2_30_30', 'transaction_id': 't_1540983405.05333', 'ts': '2018-10-31 12:56:45.053321', 'status': 'success'}
{'customer': 'customer2', 'payment_id': 'customer2_30_30', 'transaction_id': 't_1540983405.038252', 'ts': '2018-10-31 12:56:45.038241', 'status': 'success'}
{'customer': 'customer2', 'payment_id': 'customer2_30_30', 'transaction_id': 't_1540983405.037048', 'ts': '2018-10-31 12:56:45.037036', 'status': 'success'}
{'customer': 'customer2', 'payment_id': 'customer2_30_30', 'transaction_id': 't_1540983405.0510788', 'ts': '2018-10-31 12:56:45.051069', 'status': 'success'}
{'customer': 'customer2', 'payment_id': 'customer2_30_30', 'transaction_id': 't_1540983405.038252', 'ts': '2018-10-31 12:56:45.038241', 'status': 'success'}
{'customer': 'customer2', 'payment_id': 'customer2_30_30', 'transaction_id': 't_1540983405.048307', 'ts': '2018-10-31 12:56:45.048278', 'status': 'success'}
{'customer': 'customer2', 'payment_id': 'customer2_30_30', 'transaction_id': 't_1540983405.034826', 'ts': '2018-10-31 12:56:45.034813', 'status': 'success'}
{'customer': 'customer2', 'payment_id': 'customer2_30_30', 'transaction_id': 't_1540983405.0510788', 'ts': '2018-10-31 12:56:45.051069', 'status': 'success'}
{'customer': 'customer2', 'payment_id': 'customer2_30_30', 'transaction_id': 't_1540983405.034826', 'ts': '2018-10-31 12:56:45.034813', 'status': 'success'}
{'customer': 'customer2', 'payment_id': 'customer2_30_30', 'transaction_id': 't_1540983405.037048', 'ts': '2018-10-31 12:56:45.037036', 'status': 'success'}
{'customer': 'customer2', 'payment_id': 'customer2_30_30', 'transaction_id': 't_1540983405.0510788', 'ts': '2018-10-31 12:56:45.051069', 'status': 'success'}
{'customer': 'customer2', 'payment_id': 'customer2_30_30', 'transaction_id': 't_1540983405.048307', 'ts': '2018-10-31 12:56:45.048278', 'status': 'success'}
{'customer': 'customer2', 'payment_id': 'customer2_30_30', 'transaction_id': 't_1540983405.0510788', 'ts': '2018-10-31 12:56:45.051069', 'status': 'success'}
{'customer': 'customer2', 'payment_id': 'customer2_30_30', 'transaction_id': 't_1540983405.0510788', 'ts': '2018-10-31 12:56:45.051069', 'status': 'success'}
{'customer': 'customer2', 'payment_id': 'customer2_30_30', 'transaction_id': 't_1540983405.038252', 'ts': '2018-10-31 12:56:45.038241', 'status': 'success'}
{'customer': 'customer2', 'payment_id': 'customer2_30_30', 'transaction_id': 't_1540983405.048307', 'ts': '2018-10-31 12:56:45.048278', 'status': 'success'}
{'customer': 'customer2', 'payment_id': 'customer2_30_30', 'transaction_id': 't_1540983405.048307', 'ts': '2018-10-31 12:56:45.048278', 'status': 'success'}
{'customer': 'customer2', 'payment_id': 'customer2_30_30', 'transaction_id': 't_1540983405.048307', 'ts': '2018-10-31 12:56:45.048278', 'status': 'success'}
{'customer': 'customer2', 'payment_id': 'customer2_30_30', 'transaction_id': 't_1540983405.0510788', 'ts': '2018-10-31 12:56:45.051069', 'status': 'success'}
{'customer': 'customer2', 'payment_id': 'customer2_30_30', 'transaction_id': 't_1540983405.05333', 'ts': '2018-10-31 12:56:45.053321', 'status': 'success'}
{'customer': 'customer2', 'payment_id': 'customer2_30_30', 'transaction_id': 't_1540983405.037048', 'ts': '2018-10-31 12:56:45.037036', 'status': 'success'}
{'customer': 'customer2', 'payment_id': 'customer2_30_30', 'transaction_id': 't_1540983405.0510788', 'ts': '2018-10-31 12:56:45.051069', 'status': 'success'}
{'customer': 'customer2', 'payment_id': 'customer2_30_30', 'transaction_id': 't_1540983405.038252', 'ts': '2018-10-31 12:56:45.038241', 'status': 'success'}
{'customer': 'customer2', 'payment_id': 'customer2_30_30', 'transaction_id': 't_1540983405.05333', 'ts': '2018-10-31 12:56:45.053321', 'status': 'success'}
{'customer': 'customer2', 'payment_id': 'customer2_30_30', 'transaction_id': 't_1540983405.034826', 'ts': '2018-10-31 12:56:45.034813', 'status': 'success'}
{'customer': 'customer2', 'payment_id': 'customer2_30_30', 'transaction_id': 't_1540983405.034826', 'ts': '2018-10-31 12:56:45.034813', 'status': 'success'}
{'customer': 'customer2', 'payment_id': 'customer2_30_30', 'transaction_id': 't_1540983405.037048', 'ts': '2018-10-31 12:56:45.037036', 'status': 'success'}
{'customer': 'customer2', 'payment_id': 'customer2_30_30', 'transaction_id': 't_1540983405.037048', 'ts': '2018-10-31 12:56:45.037036', 'status': 'success'}
{'customer': 'customer2', 'payment_id': 'customer2_30_30', 'transaction_id': 't_1540983405.034826', 'ts': '2018-10-31 12:56:45.034813', 'status': 'success'}
{'customer': 'customer2', 'payment_id': 'customer2_30_30', 'transaction_id': 't_1540983405.037048', 'ts': '2018-10-31 12:56:45.037036', 'status': 'success'}
{'customer': 'customer2', 'payment_id': 'customer2_30_30', 'transaction_id': 't_1540983405.038252', 'ts': '2018-10-31 12:56:45.038241', 'status': 'success'}
{'customer': 'customer2', 'payment_id': 'customer2_30_30', 'transaction_id': 't_1540983405.038252', 'ts': '2018-10-31 12:56:45.038241', 'status': 'success'}
{'customer': 'customer2', 'payment_id': 'customer2_30_30', 'transaction_id': 't_1540983405.048307', 'ts': '2018-10-31 12:56:45.048278', 'status': 'success'}
